Date,Sales
2019-01-01,60606
2019-01-02,61497
2019-01-03,87182
2019-01-04,95351
2019-01-05,68170
2019-01-06,89020
2019-01-07,66516
2019-01-08,63291
2019-01-09,62041
2019-01-10,68318
2019-01-11,58731
2019-01-12,99614
2019-01-13,87451
2019-01-14,85174
2019-01-15,80400
2019-01-16,86119
2019-01-17,74086
2019-01-18,92638
2019-01-19,70975
2019-01-20,51142
2019-01-21,66649
2019-01-22,86456
2019-01-23,78743
2019-01-24,60064
2019-01-25,58770
2019-01-26,86501
2019-01-27,57268
2019-01-28,62817
2019-01-29,85614
2019-01-30,50062
2019-01-31,50902
2019-02-01,88163
2019-02-02,55021
2019-02-03,56914
2019-02-04,93049
2019-02-05,66029
2019-02-06,77425
2019-02-07,79016
2019-02-08,75723
2019-02-09,78134
2019-02-10,69400
2019-02-11,65825
2019-02-12,71975
2019-02-13,58840
2019-02-14,52569
2019-02-15,99781
2019-02-16,97713
2019-02-17,53042
2019-02-18,97233
2019-02-19,80888
2019-02-20,91649
2019-02-21,91698
2019-02-22,81674
2019-02-23,52845
2019-02-24,83899
2019-02-25,86933
2019-02-26,57792
2019-02-27,92432
2019-02-28,92249
2019-03-01,99600
2019-03-02,91607
2019-03-03,66140
2019-03-04,56585
2019-03-05,76604
2019-03-06,78201
2019-03-07,53150
2019-03-08,89685
2019-03-09,94476
2019-03-10,90399
2019-03-11,78708
2019-03-12,80971
2019-03-13,78785
2019-03-14,71082
2019-03-15,86961
2019-03-16,76358
2019-03-17,91770
2019-03-18,60653
2019-03-19,83224
2019-03-20,79205
2019-03-21,81956
2019-03-22,62205
2019-03-23,60067
2019-03-24,76648
2019-03-25,50507
2019-03-26,62676
2019-03-27,80468
2019-03-28,86024
2019-03-29,60240
2019-03-30,93936
2019-03-31,55674
2019-04-01,64378
2019-04-02,69631
2019-04-03,99764
2019-04-04,81233
2019-04-05,50715
2019-04-06,66150
2019-04-07,55783
2019-04-08,52910
2019-04-09,58116
2019-04-10,75675
2019-04-11,72085
2019-04-12,50135
2019-04-13,52040
2019-04-14,92957
2019-04-15,78478
2019-04-16,87873
2019-04-17,65969
2019-04-18,84788
2019-04-19,87502
2019-04-20,58260
2019-04-21,85772
2019-04-22,95528
2019-04-23,74656
2019-04-24,83468
2019-04-25,89927
2019-04-26,62578
2019-04-27,73201
2019-04-28,71096
2019-04-29,67863
2019-04-30,77985
2019-05-01,54840
2019-05-02,94350
2019-05-03,79748
2019-05-04,76378
2019-05-05,71612
2019-05-06,94699
2019-05-07,92242
2019-05-08,84529
2019-05-09,98161
2019-05-10,63742
2019-05-11,72356
2019-05-12,62844
2019-05-13,68435
2019-05-14,96475
2019-05-15,70951
2019-05-16,63268
2019-05-17,54192
2019-05-18,54318
2019-05-19,92599
2019-05-20,89433
2019-05-21,96387
2019-05-22,84246
2019-05-23,94454
2019-05-24,57693
2019-05-25,94342
2019-05-26,89127
2019-05-27,69555
2019-05-28,92449
2019-05-29,64480
2019-05-30,57099
2019-05-31,70999
2019-06-01,59107
2019-06-02,85648
2019-06-03,93716
2019-06-04,74079
2019-06-05,73459
2019-06-06,99825
2019-06-07,95653
2019-06-08,66518
2019-06-09,80686
2019-06-10,97717
2019-06-11,91323
2019-06-12,85675
2019-06-13,86405
2019-06-14,61197
2019-06-15,74413
2019-06-16,92590
2019-06-17,91926
2019-06-18,81776
2019-06-19,63677
2019-06-20,78961
2019-06-21,61497
2019-06-22,68935
2019-06-23,97354
2019-06-24,80750
2019-06-25,93503
2019-06-26,83668
2019-06-27,92430
2019-06-28,93182
2019-06-29,85203
2019-06-30,73842
2019-07-01,88861
2019-07-02,58667
2019-07-03,85561
2019-07-04,82230
2019-07-05,97885
2019-07-06,65339
2019-07-07,94735
2019-07-08,62814
2019-07-09,70047
2019-07-10,61737
2019-07-11,77654
2019-07-12,90626
2019-07-13,81934
2019-07-14,79855
2019-07-15,97662
2019-07-16,67839
2019-07-17,58067
2019-07-18,83829
2019-07-19,98111
2019-07-20,68429
2019-07-21,97456
2019-07-22,58498
2019-07-23,77310
2019-07-24,69695
2019-07-25,95838
2019-07-26,86597
2019-07-27,61547
2019-07-28,54750
2019-07-29,51531
2019-07-30,83125
2019-07-31,77296
2019-08-01,50349
2019-08-02,90113
2019-08-03,66337
2019-08-04,78600
2019-08-05,55236
2019-08-06,64411
2019-08-07,81414
2019-08-08,50125
2019-08-09,88434
2019-08-10,86139
2019-08-11,60851
2019-08-12,78580
2019-08-13,63249
2019-08-14,93782
2019-08-15,92836
2019-08-16,61527
2019-08-17,99218
2019-08-18,65158
2019-08-19,78916
2019-08-20,62012
2019-08-21,55926
2019-08-22,81016
2019-08-23,62042
2019-08-24,86771
2019-08-25,91995
2019-08-26,57140
2019-08-27,52894
2019-08-28,75811
2019-08-29,96620
2019-08-30,89387
2019-08-31,76062
2019-09-01,60617
2019-09-02,83122
2019-09-03,91412
2019-09-04,53575
2019-09-05,72365
2019-09-06,89297
2019-09-07,72228
2019-09-08,77724
2019-09-09,50729
2019-09-10,60099
2019-09-11,85262
2019-09-12,59020
2019-09-13,65376
2019-09-14,74578
2019-09-15,79516
2019-09-16,58792
2019-09-17,71993
2019-09-18,80254
2019-09-19,60714
2019-09-20,87830
2019-09-21,92316
2019-09-22,76610
2019-09-23,53673
2019-09-24,58400
2019-09-25,63965
2019-09-26,57770
2019-09-27,51009
2019-09-28,84889
2019-09-29,93274
2019-09-30,67415
2019-10-01,73582
2019-10-02,69789
2019-10-03,52745
2019-10-04,73048
2019-10-05,83194
2019-10-06,70642
2019-10-07,88237
2019-10-08,90309
2019-10-09,54162
2019-10-10,82789
2019-10-11,96452
2019-10-12,75830
2019-10-13,98432
2019-10-14,58126
2019-10-15,56086
2019-10-16,71875
2019-10-17,68630
2019-10-18,93737
2019-10-19,57204
2019-10-20,82272
2019-10-21,97615
2019-10-22,65784
2019-10-23,74517
2019-10-24,97642
2019-10-25,91185
2019-10-26,86990
2019-10-27,68443
2019-10-28,67066
2019-10-29,71818
2019-10-30,72294
2019-10-31,83898
2019-11-01,67370
2019-11-02,67098
2019-11-03,95035
2019-11-04,83041
2019-11-05,82342
2019-11-06,66333
2019-11-07,70424
2019-11-08,68340
2019-11-09,92253
2019-11-10,84231
2019-11-11,98957
2019-11-12,72546
2019-11-13,90167
2019-11-14,77167
2019-11-15,99605
2019-11-16,66873
2019-11-17,98976
2019-11-18,78780
2019-11-19,85518
2019-11-20,93840
2019-11-21,50383
2019-11-22,57915
2019-11-23,56443
2019-11-24,95715
2019-11-25,95526
2019-11-26,61763
2019-11-27,81876
2019-11-28,74815
2019-11-29,88682
2019-11-30,84897
2019-12-01,58518
2019-12-02,71118
2019-12-03,64232
2019-12-04,67959
2019-12-05,54119
2019-12-06,51481
2019-12-07,60513
2019-12-08,87915
2019-12-09,54631
2019-12-10,92989
2019-12-11,51605
2019-12-12,92558
2019-12-13,98108
2019-12-14,57846
2019-12-15,56234
2019-12-16,90186
2019-12-17,95055
2019-12-18,55408
2019-12-19,81147
2019-12-20,54864
2019-12-21,92812
2019-12-22,70870
2019-12-23,56062
2019-12-24,98041
2019-12-25,91657
2019-12-26,70661
2019-12-27,77323
2019-12-28,63587
2019-12-29,72753
2019-12-30,90700
2019-12-31,90081
2020-01-01,79186
2020-01-02,97180
2020-01-03,64987
2020-01-04,93544
2020-01-05,81674
2020-01-06,87385
2020-01-07,85304
2020-01-08,50214
2020-01-09,62358
2020-01-10,60640
2020-01-11,81098
2020-01-12,74936
2020-01-13,70105
2020-01-14,69495
2020-01-15,51308
2020-01-16,62359
2020-01-17,88765
2020-01-18,73484
2020-01-19,90637
2020-01-20,53344
2020-01-21,74379
2020-01-22,90918
2020-01-23,96385
2020-01-24,67141
2020-01-25,72943
2020-01-26,99153
2020-01-27,51393
2020-01-28,68075
2020-01-29,89833
2020-01-30,99469
2020-01-31,93782
2020-02-01,51231
2020-02-02,57098
2020-02-03,90975
2020-02-04,74099
2020-02-05,56884
2020-02-06,59412
2020-02-07,84954
2020-02-08,72413
2020-02-09,97385
2020-02-10,94427
2020-02-11,98559
2020-02-12,97668
2020-02-13,98256
2020-02-14,69005
2020-02-15,57607
2020-02-16,91264
2020-02-17,59649
2020-02-18,53160
2020-02-19,74372
2020-02-20,55395
2020-02-21,86858
2020-02-22,72220
2020-02-23,63549
2020-02-24,76614
2020-02-25,80667
2020-02-26,84886
2020-02-27,79507
2020-02-28,63692
2020-02-29,82681
2020-03-01,88814
2020-03-02,78285
2020-03-03,76050
2020-03-04,58692
2020-03-05,83533
2020-03-06,72037
2020-03-07,76008
2020-03-08,55049
2020-03-09,92594
2020-03-10,85224
2020-03-11,79223
2020-03-12,96171
2020-03-13,80341
2020-03-14,54121
2020-03-15,62068
2020-03-16,64210
2020-03-17,67177
2020-03-18,93130
2020-03-19,93125
2020-03-20,87002
2020-03-21,99514
2020-03-22,60664
2020-03-23,89887
2020-03-24,52661
2020-03-25,71391
2020-03-26,69127
2020-03-27,72288
2020-03-28,92106
2020-03-29,97972
2020-03-30,92033
2020-03-31,74448
2020-04-01,84751
2020-04-02,57660
2020-04-03,69237
2020-04-04,61660
2020-04-05,63647
2020-04-06,85648
2020-04-07,87790
2020-04-08,76544
2020-04-09,73150
2020-04-10,82175
2020-04-11,82430
2020-04-12,51658
2020-04-13,63041
2020-04-14,87691
2020-04-15,69807
2020-04-16,54456
2020-04-17,82273
2020-04-18,65031
2020-04-19,52618
2020-04-20,66122
2020-04-21,83866
2020-04-22,69122
2020-04-23,92477
2020-04-24,71823
2020-04-25,91611
2020-04-26,99684
2020-04-27,91156
2020-04-28,82121
2020-04-29,60027
2020-04-30,56323
2020-05-01,65188
2020-05-02,52152
2020-05-03,86858
2020-05-04,72429
2020-05-05,67145
2020-05-06,78213
2020-05-07,73933
2020-05-08,77510
2020-05-09,68778
2020-05-10,74030
2020-05-11,74076
2020-05-12,84370
2020-05-13,91297
2020-05-14,83452
2020-05-15,92811
2020-05-16,53469
2020-05-17,52203
2020-05-18,81532
2020-05-19,88844
2020-05-20,84884
